INDEX,SEARCHED KEYWORD,PAPER TITLE,AUTHER NAME,URL,YEAR,ABSTRACT,SUMMARY
10,recurrent network for time series data ,Recurrence networks—a novel paradigm for nonlinear time series analysis,"RV Donner, Y Zou, JF Donges, N Marwan… - New Journal of …, 2010 - iopscience.iop.org",https://iopscience.iop.org/article/10.1088/1367-2630/12/3/033025/meta,2010,"
17481 Total downloads

","
17481 Total downloads

"
11,recurrent network for time series data ,Convolutional neural networks for time series classification,"B Zhao, H Lu, S Chen, J Liu… - Journal of Systems …, 2017 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/7870510/,2017,"Time series classification is an important task in time series data mining, and has attracted great interests and tremendous efforts during last decades. However, it remains a challenging problem due to the nature of time series data: high dimensionality, large in data size and updating continuously. The deep learning techniques are explored to improve the performance of traditional feature-based approaches. Specifically, a novel convolutional neural network (CNN) framework is proposed for time series classification. Different from other feature-based classification approaches, CNN can discover and extract the suitable internal structure to generate deep features of the input time series automatically by using convolution and pooling operations. Two groups of experiments are conducted on simulated data sets and eight groups of experiments are conducted on real-world data sets from different application domains. The final experimental results show that the proposed method outperforms state-of-the-art methods for time series classification in terms of the classification accuracy and noise tolerance.","Different from other feature-based classification approaches, CNN can discover and extract the suitable internal structure to generate deep features of the input time series automatically by using convolution and pooling operations."
12,recurrent network for time series data ,A review of irregular time series data handling with gated recurrent neural networks,"PB Weerakody, KW Wong, G Wang, W Ela - Neurocomputing, 2021 - Elsevier",https://www.sciencedirect.com/science/article/pii/S0925231221003003,2021,"… dependencies in irregular univariate and multivariate  time    series    data  . In this paper, we …  gated  recurrent    neural    networks  have been successfully applied to irregular  time    series    data  for …","In this paper, we …  gated  recurrent    neural    networks  have been successfully applied to irregular  time    series    data  for …"
13,recurrent network for time series data ,Recurrent neural networks for multivariate time series with missing values,"Z Che, S Purushotham, K Cho, D Sontag, Y Liu - Scientific reports, 2018 - nature.com",https://www.nature.com/articles/s41598-018-24271-9,2018,"Multivariate time series data in practical applications, such as health care, geoscience, and biology, are characterized by a variety of missing values. In time series prediction and other related tasks, it has been noted that missing values and their missing patterns are often correlated with the target labels, a.k.a., informative missingness. There is very limited work on exploiting the missing patterns for effective imputation and improving prediction performance. In this paper, we develop novel deep learning models, namely GRU-D, as one of the early attempts. GRU-D is based on Gated Recurrent Unit (GRU), a state-of-the-art recurrent neural network. It takes two representations of missing patterns, i.e., masking and time interval, and effectively incorporates them into a deep model architecture so that it not only captures the long-term temporal dependencies in time series, but also utilizes the missing patterns to achieve better prediction results. Experiments of time series classification tasks on real-world clinical datasets (MIMIC-III, PhysioNet) and synthetic datasets demonstrate that our models achieve state-of-the-art performance and provide useful insights for better understanding and utilization of missing values in time series analysis.","Experiments of time series classification tasks on real-world clinical datasets (MIMIC-III, PhysioNet) and synthetic datasets demonstrate that our models achieve state-of-the-art performance and provide useful insights for better understanding and utilization of missing values in time series analysis."
14,recurrent network for time series data ,Recurrent neural networks and robust time series prediction,"JT Connor, RD Martin, LE Atlas - … on neural networks, 1994 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/279188/,1994,"We propose a robust learning algorithm and apply it to recurrent neural networks. This algorithm is based on filtering outliers from the data and then estimating parameters from the filtered data. The filtering removes outliers from both the target function and the inputs of the neural network. The filtering is soft in that some outliers are neither completely rejected nor accepted. To show the need for robust recurrent networks, we compare the predictive ability of least squares estimated recurrent networks on synthetic data and on the Puget Power Electric Demand time series. These investigations result in a class of recurrent neural networks, NARMA(p,q), which show advantages over feedforward neural networks for time series with a moving average component. Conventional least squares methods of fitting NARMA(p,q) neural network models are shown to suffer a lack of robustness towards outliers. This sensitivity to outliers is demonstrated on both the synthetic and real data sets. Filtering the Puget Power Electric Demand time series is shown to automatically remove the outliers due to holidays. Neural networks trained on filtered data are then shown to give better predictions than neural networks trained on unfiltered time series.<
<ETX xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">&gt;</ETX>","To show the need for robust recurrent networks, we compare the predictive ability of least squares estimated recurrent networks on synthetic data and on the Puget Power Electric Demand time series."
15,recurrent network for time series data ,Time series forecasting using neural networks,"T Kolarik, G Rudorfer - ACM Sigapl Apl Quote Quad, 1994 - dl.acm.org",https://dl.acm.org/doi/abs/10.1145/190468.190290,1994,"Artificial neural networks are suitable for many tasks in pattern recognition and machine learning. In this paper we present an APL system for forecasting univariate time series with artificial neural networks. Unlike conventional techniques for time series analysis, an artificial neural network needs little information about the time series data and can be applied to a broad range of problems. However, the problem of network “tuning” remains: parameters of the backpropagation algorithm as well as the network topology need to be adjusted for optimal performances. For our application, we conducted experiments to find the right parameters for a forecasting network. The artificial neural networks that were found delivered a better forecasting performance than results  obtained by the well known ARIMA technique.","Unlike conventional techniques for time series analysis, an artificial neural network needs little information about the time series data and can be applied to a broad range of problems."
16,recurrent network for time series data ,Designing a neural network for forecasting financial and economic time series,"I Kaastra, M Boyd - Neurocomputing, 1996 - Elsevier",https://www.sciencedirect.com/science/article/pii/0925231295000399,1996,… be selected to develop a  neural    network  forecasting model have meant … a  neural    network    for forecasting economic  time    series    data  . An eight-step procedure to design a  neural    network  …,An eight-step procedure to design a  neural    network  …
17,recurrent network for time series data ,Recurrent neural networks for time series classification,"M Hüsken, P Stagge - Neurocomputing, 2003 - Elsevier",https://www.sciencedirect.com/science/article/pii/S0925231201007068,2003,… the dynamics of  recurrent    neural    networks  (RNNs) for the classification of  time    series  . The  … neurons represent the class of the  time    series  fed into the  network  . The main issues of this …,The  … neurons represent the class of the  time    series  fed into the  network  .
18,recurrent network for time series data ,Evolving recurrent neural networks for time series data prediction of coal plant parameters,"AER ElSaid, S Benson, S Patwardhan… - … 2019, Held as Part of …, 2019 - Springer",https://link.springer.com/chapter/10.1007/978-3-030-16692-2_33,2019,"This paper presents the Evolutionary eXploration of Augmenting LSTM Topologies (EXALT) algorithm and its use in evolving recurrent neural networks (RNNs) for time series data prediction. It introduces a new open data set from a coal-fired power plant, consisting of 10 days of per minute sensor recordings from 12 different burners at the plant. This large scale real world data set involves complex dependencies between sensor parameters and makes for challenging data to predict. EXALT provides interesting new techniques for evolving neural networks, including epigenetic weight initialization, where child neural networks re-use parental weights as a starting point to backpropagation, as well as node-level mutation operations which can improve evolutionary progress. EXALT has been designed with parallel computation in mind to further improve performance. Preliminary results were gathered predicting the Main Flame Intensity data parameter, with EXALT strongly outperforming five traditional neural network architectures on the best, average and worst cases across 10 repeated training runs per test case; and was only slightly behind the best trained Elman recurrent neural networks while being significantly more reliable (i.e., much better average and worst case results). Further, EXALT achieved these results 2 to 10 times faster than the traditional methods, in part due to its scalability, showing strong potential to beat traditional architectures given additional runtime.KeywordsNeuro-evolutionRecurrent neural networksTime series data prediction",This paper presents the Evolutionary eXploration of Augmenting LSTM Topologies (EXALT) algorithm and its use in evolving recurrent neural networks (RNNs) for time series data prediction.
19,recurrent network for time series data ,Detecting anomalies in time series data from a manufacturing system using recurrent neural networks,"Y Wang, M Perry, D Whitlock, JW Sutherland - Journal of Manufacturing …, 2022 - Elsevier",https://www.sciencedirect.com/science/article/pii/S0278612520302211,2022,"… acquired from a manufacturing system are usually in the forms of  time    series  . This … in  time      series    data  . This model is based on  recurrent    neural    networks  , and it can be trained using  data  …",This … in  time      series    data  .
20,Deep architecture,Learning deep architectures for AI,"Y Bengio - Foundations and trends® in Machine Learning, 2009 - nowpublishers.com",https://www.nowpublishers.com/article/Details/MAL-006,2009,"Theoretical results suggest that in order to learn the kind of complicated functions that can represent high-level abstractions (e.g., in vision, language, and other AI-level tasks), one may need deep architectures. Deep architectures are composed of multiple levels of non-linear operations, such as in neural nets with many hidden layers or in complicated propositional formulae re-using many sub-formulae. Searching the parameter space of deep architectures is a difficult task, but learning algorithms such as those for Deep Belief Networks have recently been proposed to tackle this problem with notable success, beating the state-of-the-art in certain areas. This monograph discusses the motivations and principles regarding learning algorithms for deep architectures, in particular those exploiting as building blocks unsupervised learning of single-layer models such as Restricted Boltzmann Machines, used to construct deeper models such as Deep Belief Networks.","Searching the parameter space of deep architectures is a difficult task, but learning algorithms such as those for Deep Belief Networks have recently been proposed to tackle this problem with notable success, beating the state-of-the-art in certain areas."
21,Deep architecture,Practical recommendations for gradient-based training of deep architectures,"Y Bengio - Neural Networks: Tricks of the Trade: Second Edition, 2012 - Springer",https://link.springer.com/chapter/10.1007/978-3-642-35289-8_26,2012,"Learning algorithms related to artificial neural networks and in particular for Deep Learning may seem to involve many bells and whistles, called hyper-parameters. This chapter is meant as a practical guide with recommendations for some of the most commonly used hyperparameters, in particular in the context of learning algorithms based on back-propagated gradient and gradient-based optimization. It also discusses how to deal with the fact that more interesting results can be obtained when allowing one to adjust many hyper-parameters. Overall, it describes elements of the practice used to successfully and efficiently train and debug large-scale and often deep multi-layer neural networks. It closes with open questions about the training difficulties observed with deeper architectures.KeywordsDeep LearnGrid SearchHide UnitSparse CodeGeneralization ErrorThese keywords were added by machine and not by the authors. This process is experimental and the keywords may be updated as the learning algorithm improves.","Learning algorithms related to artificial neural networks and in particular for Deep Learning may seem to involve many bells and whistles, called hyper-parameters."
22,Deep architecture,Understanding representations learned in deep architectures,"D Erhan, A Courville, Y Bengio - 2010 - iro.umontreal.ca",http://www.iro.umontreal.ca/~lisa/pointeurs/invariances_techreport.pdf,2010,…  deep    architectures  as representatives of two families of models encountered in the  deep  …  verify some hypotheses that we had about  deep    architectures  : namely that they learn to model …,
23,Deep architecture,Deep unfolding: Model-based inspiration of novel deep architectures,"JR Hershey, JL Roux, F Weninger - arXiv preprint arXiv:1409.2574, 2014 - arxiv.org",https://arxiv.org/abs/1409.2574,1409," Model-based methods and deep neural networks have both been tremendously
successful paradigms in machine learning. In model-based methods, problem
domain knowledge can be built into the constraints of the model, typically at
the expense of difficulties during inference. In contrast, deterministic deep
neural networks are constructed in such a way that inference is
straightforward, but their architectures are generic and it is unclear how to
incorporate knowledge. This work aims to obtain the advantages of both
approaches. To do so, we start with a model-based approach and an associated
inference algorithm, and \emph{unfold} the inference iterations as layers in a
deep network. Rather than optimizing the original model, we \emph{untie} the
model parameters across layers, in order to create a more powerful network. The
resulting architecture can be trained discriminatively to perform accurate
inference within a fixed network size. We show how this framework allows us to
interpret conventional networks as mean-field inference in Markov random
fields, and to obtain new architectures by instead using belief propagation as
the inference algorithm. We then show its application to a non-negative matrix
factorization model that incorporates the problem-domain knowledge that sound
sources are additive. Deep unfolding of this model yields a new kind of
non-negative deep neural network, that can be trained using a multiplicative
backpropagation-style update algorithm. We present speech enhancement
experiments showing that our approach is competitive with conventional neural
networks despite using far fewer parameters.
","To do so, we start with a model-based approach and an associated
inference algorithm, and \emph{unfold} the inference iterations as layers in a
deep network."
24,Deep architecture,On the expressive power of deep architectures,"Y Bengio, O Delalleau - … Theory: 22nd International Conference, ALT 2011 …, 2011 - Springer",https://link.springer.com/content/pdf/10.1007/978-3-642-24412-4.pdf#page=30,2011,none,none
25,Deep architecture,Deeparchitect: Automatically designing and training deep architectures,"R Negrinho, G Gordon - arXiv preprint arXiv:1704.08792, 2017 - arxiv.org",https://arxiv.org/abs/1704.08792,1704," In deep learning, performance is strongly affected by the choice of
architecture and hyperparameters. While there has been extensive work on
automatic hyperparameter optimization for simple spaces, complex spaces such as
the space of deep architectures remain largely unexplored. As a result, the
choice of architecture is done manually by the human expert through a slow
trial and error process guided mainly by intuition. In this paper we describe a
framework for automatically designing and training deep models. We propose an
extensible and modular language that allows the human expert to compactly
represent complex search spaces over architectures and their hyperparameters.
The resulting search spaces are tree-structured and therefore easy to traverse.
Models can be automatically compiled to computational graphs once values for
all hyperparameters have been chosen. We can leverage the structure of the
search space to introduce different model search algorithms, such as random
search, Monte Carlo tree search (MCTS), and sequential model-based optimization
(SMBO). We present experiments comparing the different algorithms on CIFAR-10
and show that MCTS and SMBO outperform random search. In addition, these
experiments show that our framework can be used effectively for model
discovery, as it is possible to describe expressive search spaces and discover
competitive models without much effort from the human expert. Code for our
framework and experiments has been made publicly available.
","In addition, these
experiments show that our framework can be used effectively for model
discovery, as it is possible to describe expressive search spaces and discover
competitive models without much effort from the human expert."
26,Deep architecture,Swapout: Learning an ensemble of deep architectures,"S Singh, D Hoiem, D Forsyth - Advances in neural …, 2016 - proceedings.neurips.cc",https://proceedings.neurips.cc/paper/2016/hash/c51ce410c124a10e0db5e4b97fc2af39-Abstract.html,2016,"We describe Swapout, a new stochastic training method, that outperforms ResNets of identical network structure yielding impressive results on CIFAR-10 and CIFAR-100. Swapout samples from a rich set of architectures including dropout, stochastic depth and residual architectures as special cases. When viewed as a regularization method swapout not only inhibits co-adaptation of units in a layer, similar to dropout, but also across network layers. We conjecture that swapout achieves strong regularization by implicitly tying the parameters across layers. When viewed as an ensemble training method, it samples a much richer set of architectures than existing methods such as dropout or stochastic depth. We propose a parameterization that reveals connections to exiting architectures and suggests a much richer set of architectures to be explored. We show that our formulation suggests an efficient training method and validate our conclusions on CIFAR-10 and CIFAR-100 matching state of the art accuracy. Remarkably, our 32 layer wider model performs similar to a 1001 layer ResNet model.","When viewed as an ensemble training method, it samples a much richer set of architectures than existing methods such as dropout or stochastic depth."
27,Deep architecture,"Autoencoders, unsupervised learning, and deep architectures","P Baldi - Proceedings of ICML workshop on unsupervised …, 2012 - proceedings.mlr.press",http://proceedings.mlr.press/v27/baldi12a.html,2012,"
    Autoencoders play a fundamental role in unsupervised learning and in deep architectures for transfer learning and other tasks. In spite of their fundamental role, only linear autoencoders over the real numbers have been solved analytically. Here we present a general mathematical framework for the study of both linear and non-linear autoencoders. The framework allows one to derive an analytical treatment for the most non-linear autoencoder, the Boolean autoencoder. Learning in the Boolean autoencoder is equivalent to a clustering problem that can be solved in polynomial time when the number of clusters is small and becomes NP complete when the number of clusters is large. The framework sheds light on the different kinds of autoencoders, their learning complexity, their horizontal and vertical composability in deep architectures, their critical points, and their fundamental connections to clustering, Hebbian learning, and information theory.
  ","The framework sheds light on the different kinds of autoencoders, their learning complexity, their horizontal and vertical composability in deep architectures, their critical points, and their fundamental connections to clustering, Hebbian learning, and information theory."
28,Deep architecture,From shallow feature learning to deep learning: Benefits from the width and depth of deep architectures,"G Zhong, X Ling, LN Wang - Wiley Interdisciplinary Reviews …, 2019 - Wiley Online Library",https://wires.onlinelibrary.wiley.com/doi/abs/10.1002/widm.1255,2019,"… of the  deep  learning models. Particularly, we survey the  deep    architectures  with benefits from  … Finally, several interesting directions of  deep  learning are presented and briefly discussed. …","Particularly, we survey the  deep    architectures  with benefits from  … Finally, several interesting directions of  deep  learning are presented and briefly discussed."
29,Deep architecture,Sum-product networks: A new deep architecture,"H Poon, P Domingos - 2011 IEEE International Conference on …, 2011 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/6130310/,2011,"The key limiting factor in graphical model inference and learning is the complexity of the partition function. We thus ask the question: what are the most general conditions under which the partition function is tractable? The answer leads to a new kind of deep architecture, which we call sum product networks (SPNs) and will present in this abstract. The key idea of SPNs is to compactly represent the partition function by introducing multiple layers of hidden variables. An SPN is a rooted directed acyclic graph with variables as leaves, sums and products as internal nodes, and weighted edges.",The key limiting factor in graphical model inference and learning is the complexity of the partition function.
30,deep architectures for natural language ,A unified architecture for natural language processing: Deep neural networks with multitask learning,"R Collobert, J Weston - Proceedings of the 25th international conference …, 2008 - dl.acm.org",https://dl.acm.org/doi/abs/10.1145/1390156.1390177,2008,"
We describe a single convolutional neural network architecture that, given a sentence, outputs a host of language processing predictions: part-of-speech tags, chunks, named entity tags, semantic roles, semantically similar words and the likelihood that the sentence makes sense (grammatically and semantically) using a language model. The entire network is trained jointly on all these tasks using weight-sharing, an instance of multitask learning. All the tasks use labeled data except the language model which is learnt from unlabeled text and represents a novel form of semi-supervised learning for the shared tasks. We show how both multitask learning and semi-supervised learning improve the generalization of the shared tasks, resulting in state-of-the-art-performance.
",All the tasks use labeled data except the language model which is learnt from unlabeled text and represents a novel form of semi-supervised learning for the shared tasks.
31,deep architectures for natural language ,Effect of non-linear deep architecture in sequence labeling,"M Wang, CD Manning - … Joint Conference on Natural Language …, 2013 - aclanthology.org",https://aclanthology.org/I13-1183.pdf,2013,"… Random Fields (CRF) with newly proposed “  deep    architecture  ” sequence models (Collobert  et al.… Somewhat surprisingly, we find that a nonlinear  architecture  offers no benefits in a high-…",
32,deep architectures for natural language ,Very deep convolutional networks for natural language processing,"A Conneau, H Schwenk, L Barrault… - arXiv preprint arXiv …, 2016 - researchgate.net",https://www.researchgate.net/profile/Loic-Barrault/publication/303822179_Very_Deep_Convolutional_Networks_for_Natural_Language_Processing/links/5772506308aeeec38953dd26/Very-Deep-Convolutional-Networks-for-Natural-Language-Processing.pdf,2016,"… in NLP is to develop  deep    architectures  which are able to …  deep    architectures  of many  convolutional layers to approach this goal, using up to 29 layers. The design of our  architecture  is …",The design of our  architecture  is …
